sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:31069	Eumenes	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:416873	Aeschynomene pratensis	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:15782	Exomalopsis	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:416873	Aeschynomene pratensis	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:104071	Megachile	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:416873	Aeschynomene pratensis	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:240170	Polybia occidentalis	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:416873	Aeschynomene pratensis	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:1065374	Bombus bimaculatus	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:582245	Aesculus sylvatica	GEONAMES:4482348	piedmont North Carolina					Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA.
EOL:1065343	Bombus pennsylvanicus	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:582245	Aesculus sylvatica	GEONAMES:4482348	piedmont North Carolina					Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA.
	Ephemoropsis laboriosa	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:582245	Aesculus sylvatica	GEONAMES:4482348	piedmont North Carolina					Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA.
EOL:730153	Eupogonomyia probilofensis	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:467169	Arnica alpina	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:732641	Spilogona almquistii	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:467169	Arnica alpina	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:730414	Spilogona sanctipauli	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:467169	Arnica alpina	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:1065341	Bombus polaris	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:418736	Astragalus alpinus	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:175775	Colias hecla	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:418736	Astragalus alpinus	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:173890	Colias nastes	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:418736	Astragalus alpinus	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:1045608	Apis mellifera	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:5438949	Besmoscelis villosa	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:2742418	Augochlora	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:5438949	Besmoscelis villosa	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:2742287	Augochlorensis callichroa	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:5438949	Besmoscelis villosa	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:2756509	Euglossa cordata	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:5438949	Besmoscelis villosa	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
	Melipona favosa	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:5438949	Besmoscelis villosa	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:752441	Palpada pusio	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:5438949	Besmoscelis villosa	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
EOL:732641	Spilogona almquistii	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:596646	Caltha palustris	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:732619	Spilogona dorsata	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:596646	Caltha palustris	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:747112	Spilogona hurdiana	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:596646	Caltha palustris	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:732129	Spilogona melanosoma	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:596646	Caltha palustris	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:730414	Spilogona sanctipauli	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:596646	Caltha palustris	GEONAMES:6071989	Melville Island, N.W.T., Canada	75.50135	-113.50515			Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.
EOL:2742391	Auhochloropsis vesta	http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1148684	Caperonia pallustris	GEONAMES:3796001	Guarico State, Venezuela	10.64456	-63.14742		doi:10.1111/j.1095-8339.1992.tb00294.x	Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.
